resolution,feature_set,feature,source,type,hours
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_0h,temperature_bme280,lag,0
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_12h,temperature_bme280,lag,12
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_1h,temperature_bme280,lag,1
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_2h,temperature_bme280,lag,2
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_3h,temperature_bme280,lag,3
12min,SHT_MULTISENSOR_TIME,temperature_bme280__lag_6h,temperature_bme280,lag,6
12min,SHT_MULTISENSOR_TIME,temperature_bme280__missing_fraction_24h,temperature_bme280,missing_fraction,24
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_max_12h,temperature_bme280,rolling_max,12
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_max_1h,temperature_bme280,rolling_max,1
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_max_24h,temperature_bme280,rolling_max,24
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_max_3h,temperature_bme280,rolling_max,3
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_max_6h,temperature_bme280,rolling_max,6
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_mean_12h,temperature_bme280,rolling_mean,12
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_mean_1h,temperature_bme280,rolling_mean,1
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_mean_24h,temperature_bme280,rolling_mean,24
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_mean_3h,temperature_bme280,rolling_mean,3
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_mean_6h,temperature_bme280,rolling_mean,6
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_min_12h,temperature_bme280,rolling_min,12
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_min_1h,temperature_bme280,rolling_min,1
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_min_24h,temperature_bme280,rolling_min,24
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_min_3h,temperature_bme280,rolling_min,3
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_min_6h,temperature_bme280,rolling_min,6
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_std_12h,temperature_bme280,rolling_std,12
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_std_1h,temperature_bme280,rolling_std,1
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_std_24h,temperature_bme280,rolling_std,24
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_std_3h,temperature_bme280,rolling_std,3
12min,SHT_MULTISENSOR_TIME,temperature_bme280__roll_std_6h,temperature_bme280,rolling_std,6
20min,SHT_BASE,relative_humidity__delta_12h,relative_humidity,difference,12
20min,SHT_BASE,relative_humidity__delta_1h,relative_humidity,difference,1
20min,SHT_BASE,relative_humidity__delta_2h,relative_humidity,difference,2
20min,SHT_BASE,relative_humidity__delta_3h,relative_humidity,difference,3
20min,SHT_BASE,relative_humidity__delta_6h,relative_humidity,difference,6
20min,SHT_BASE,relative_humidity__lag_0h,relative_humidity,lag,0
20min,SHT_BASE,relative_humidity__lag_12h,relative_humidity,lag,12
20min,SHT_BASE,relative_humidity__lag_1h,relative_humidity,lag,1
20min,SHT_BASE,relative_humidity__lag_2h,relative_humidity,lag,2
20min,SHT_BASE,relative_humidity__lag_3h,relative_humidity,lag,3
20min,SHT_BASE,relative_humidity__lag_6h,relative_humidity,lag,6
20min,SHT_BASE,relative_humidity__missing_fraction_24h,relative_humidity,missing_fraction,24
20min,SHT_BASE,relative_humidity__roll_max_12h,relative_humidity,rolling_max,12
20min,SHT_BASE,relative_humidity__roll_max_1h,relative_humidity,rolling_max,1
20min,SHT_BASE,relative_humidity__roll_max_24h,relative_humidity,rolling_max,24
20min,SHT_BASE,relative_humidity__roll_max_3h,relative_humidity,rolling_max,3
20min,SHT_BASE,relative_humidity__roll_max_6h,relative_humidity,rolling_max,6
20min,SHT_BASE,relative_humidity__roll_mean_12h,relative_humidity,rolling_mean,12
20min,SHT_BASE,relative_humidity__roll_mean_1h,relative_humidity,rolling_mean,1
20min,SHT_BASE,relative_humidity__roll_mean_24h,relative_humidity,rolling_mean,24
20min,SHT_BASE,relative_humidity__roll_mean_3h,relative_humidity,rolling_mean,3
20min,SHT_BASE,relative_humidity__roll_mean_6h,relative_humidity,rolling_mean,6
20min,SHT_BASE,relative_humidity__roll_min_12h,relative_humidity,rolling_min,12
20min,SHT_BASE,relative_humidity__roll_min_1h,relative_humidity,rolling_min,1
20min,SHT_BASE,relative_humidity__roll_min_24h,relative_humidity,rolling_min,24
20min,SHT_BASE,relative_humidity__roll_min_3h,relative_humidity,rolling_min,3
20min,SHT_BASE,relative_humidity__roll_min_6h,relative_humidity,rolling_min,6
20min,SHT_BASE,relative_humidity__roll_std_12h,relative_humidity,rolling_std,12
20min,SHT_BASE,relative_humidity__roll_std_1h,relative_humidity,rolling_std,1
20min,SHT_BASE,relative_humidity__roll_std_24h,relative_humidity,rolling_std,24
20min,SHT_BASE,relative_humidity__roll_std_3h,relative_humidity,rolling_std,3
20min,SHT_BASE,relative_humidity__roll_std_6h,relative_humidity,rolling_std,6
20min,SHT_BASE,temperature__delta_12h,temperature,difference,12
20min,SHT_BASE,temperature__delta_1h,temperature,difference,1
20min,SHT_BASE,temperature__delta_2h,temperature,difference,2
20min,SHT_BASE,temperature__delta_3h,temperature,difference,3
20min,SHT_BASE,temperature__delta_6h,temperature,difference,6
20min,SHT_BASE,temperature__lag_0h,temperature,lag,0
20min,SHT_BASE,temperature__lag_12h,temperature,lag,12
20min,SHT_BASE,temperature__lag_1h,temperature,lag,1
20min,SHT_BASE,temperature__lag_2h,temperature,lag,2
20min,SHT_BASE,temperature__lag_3h,temperature,lag,3
20min,SHT_BASE,temperature__lag_6h,temperature,lag,6
20min,SHT_BASE,temperature__missing_fraction_24h,temperature,missing_fraction,24
20min,SHT_BASE,temperature__roll_max_12h,temperature,rolling_max,12
20min,SHT_BASE,temperature__roll_max_1h,temperature,rolling_max,1
20min,SHT_BASE,temperature__roll_max_24h,temperature,rolling_max,24
20min,SHT_BASE,temperature__roll_max_3h,temperature,rolling_max,3
20min,SHT_BASE,temperature__roll_max_6h,temperature,rolling_max,6
20min,SHT_BASE,temperature__roll_mean_12h,temperature,rolling_mean,12
20min,SHT_BASE,temperature__roll_mean_1h,temperature,rolling_mean,1
20min,SHT_BASE,temperature__roll_mean_24h,temperature,rolling_mean,24
20min,SHT_BASE,temperature__roll_mean_3h,temperature,rolling_mean,3
20min,SHT_BASE,temperature__roll_mean_6h,temperature,rolling_mean,6
20min,SHT_BASE,temperature__roll_min_12h,temperature,rolling_min,12
20min,SHT_BASE,temperature__roll_min_1h,temperature,rolling_min,1
20min,SHT_BASE,temperature__roll_min_24h,temperature,rolling_min,24
20min,SHT_BASE,temperature__roll_min_3h,temperature,rolling_min,3
20min,SHT_BASE,temperature__roll_min_6h,temperature,rolling_min,6
20min,SHT_BASE,temperature__roll_std_12h,temperature,rolling_std,12
20min,SHT_BASE,temperature__roll_std_1h,temperature,rolling_std,1
20min,SHT_BASE,temperature__roll_std_24h,temperature,rolling_std,24
20min,SHT_BASE,temperature__roll_std_3h,temperature,rolling_std,3
20min,SHT_BASE,temperature__roll_std_6h,temperature,rolling_std,6
20min,SHT_TIME,day_of_year_cos__origin,day_of_year_cos,origin_static,0
20min,SHT_TIME,day_of_year_sin__origin,day_of_year_sin,origin_static,0
20min,SHT_TIME,hour_cos__origin,hour_cos,origin_static,0
20min,SHT_TIME,hour_sin__origin,hour_sin,origin_static,0
20min,SHT_TIME,relative_humidity__delta_12h,relative_humidity,difference,12
20min,SHT_TIME,relative_humidity__delta_1h,relative_humidity,difference,1
20min,SHT_TIME,relative_humidity__delta_2h,relative_humidity,difference,2
20min,SHT_TIME,relative_humidity__delta_3h,relative_humidity,difference,3
20min,SHT_TIME,relative_humidity__delta_6h,relative_humidity,difference,6
20min,SHT_TIME,relative_humidity__lag_0h,relative_humidity,lag,0
20min,SHT_TIME,relative_humidity__lag_12h,relative_humidity,lag,12
20min,SHT_TIME,relative_humidity__lag_1h,relative_humidity,lag,1
20min,SHT_TIME,relative_humidity__lag_2h,relative_humidity,lag,2
20min,SHT_TIME,relative_humidity__lag_3h,relative_humidity,lag,3
20min,SHT_TIME,relative_humidity__lag_6h,relative_humidity,lag,6
20min,SHT_TIME,relative_humidity__missing_fraction_24h,relative_humidity,missing_fraction,24
20min,SHT_TIME,relative_humidity__roll_max_12h,relative_humidity,rolling_max,12
20min,SHT_TIME,relative_humidity__roll_max_1h,relative_humidity,rolling_max,1
20min,SHT_TIME,relative_humidity__roll_max_24h,relative_humidity,rolling_max,24
20min,SHT_TIME,relative_humidity__roll_max_3h,relative_humidity,rolling_max,3
20min,SHT_TIME,relative_humidity__roll_max_6h,relative_humidity,rolling_max,6
20min,SHT_TIME,relative_humidity__roll_mean_12h,relative_humidity,rolling_mean,12
20min,SHT_TIME,relative_humidity__roll_mean_1h,relative_humidity,rolling_mean,1
20min,SHT_TIME,relative_humidity__roll_mean_24h,relative_humidity,rolling_mean,24
20min,SHT_TIME,relative_humidity__roll_mean_3h,relative_humidity,rolling_mean,3
20min,SHT_TIME,relative_humidity__roll_mean_6h,relative_humidity,rolling_mean,6
20min,SHT_TIME,relative_humidity__roll_min_12h,relative_humidity,rolling_min,12
20min,SHT_TIME,relative_humidity__roll_min_1h,relative_humidity,rolling_min,1
20min,SHT_TIME,relative_humidity__roll_min_24h,relative_humidity,rolling_min,24
20min,SHT_TIME,relative_humidity__roll_min_3h,relative_humidity,rolling_min,3
20min,SHT_TIME,relative_humidity__roll_min_6h,relative_humidity,rolling_min,6
20min,SHT_TIME,relative_humidity__roll_std_12h,relative_humidity,rolling_std,12
20min,SHT_TIME,relative_humidity__roll_std_1h,relative_humidity,rolling_std,1
20min,SHT_TIME,relative_humidity__roll_std_24h,relative_humidity,rolling_std,24
20min,SHT_TIME,relative_humidity__roll_std_3h,relative_humidity,rolling_std,3
20min,SHT_TIME,relative_humidity__roll_std_6h,relative_humidity,rolling_std,6
20min,SHT_TIME,temperature__delta_12h,temperature,difference,12
20min,SHT_TIME,temperature__delta_1h,temperature,difference,1
20min,SHT_TIME,temperature__delta_2h,temperature,difference,2
20min,SHT_TIME,temperature__delta_3h,temperature,difference,3
20min,SHT_TIME,temperature__delta_6h,temperature,difference,6
20min,SHT_TIME,temperature__lag_0h,temperature,lag,0
20min,SHT_TIME,temperature__lag_12h,temperature,lag,12
20min,SHT_TIME,temperature__lag_1h,temperature,lag,1
20min,SHT_TIME,temperature__lag_2h,temperature,lag,2
20min,SHT_TIME,temperature__lag_3h,temperature,lag,3
20min,SHT_TIME,temperature__lag_6h,temperature,lag,6
20min,SHT_TIME,temperature__missing_fraction_24h,temperature,missing_fraction,24
20min,SHT_TIME,temperature__roll_max_12h,temperature,rolling_max,12
20min,SHT_TIME,temperature__roll_max_1h,temperature,rolling_max,1
20min,SHT_TIME,temperature__roll_max_24h,temperature,rolling_max,24
20min,SHT_TIME,temperature__roll_max_3h,temperature,rolling_max,3
20min,SHT_TIME,temperature__roll_max_6h,temperature,rolling_max,6
20min,SHT_TIME,temperature__roll_mean_12h,temperature,rolling_mean,12
20min,SHT_TIME,temperature__roll_mean_1h,temperature,rolling_mean,1
20min,SHT_TIME,temperature__roll_mean_24h,temperature,rolling_mean,24
20min,SHT_TIME,temperature__roll_mean_3h,temperature,rolling_mean,3
20min,SHT_TIME,temperature__roll_mean_6h,temperature,rolling_mean,6
20min,SHT_TIME,temperature__roll_min_12h,temperature,rolling_min,12
20min,SHT_TIME,temperature__roll_min_1h,temperature,rolling_min,1
20min,SHT_TIME,temperature__roll_min_24h,temperature,rolling_min,24
20min,SHT_TIME,temperature__roll_min_3h,temperature,rolling_min,3
20min,SHT_TIME,temperature__roll_min_6h,temperature,rolling_min,6
20min,SHT_TIME,temperature__roll_std_12h,temperature,rolling_std,12
20min,SHT_TIME,temperature__roll_std_1h,temperature,rolling_std,1
20min,SHT_TIME,temperature__roll_std_24h,temperature,rolling_std,24
20min,SHT_TIME,temperature__roll_std_3h,temperature,rolling_std,3
20min,SHT_TIME,temperature__roll_std_6h,temperature,rolling_std,6
20min,SHT_AUX_TIME,day_of_year_cos__origin,day_of_year_cos,origin_static,0
20min,SHT_AUX_TIME,day_of_year_sin__origin,day_of_year_sin,origin_static,0
20min,SHT_AUX_TIME,hour_cos__origin,hour_cos,origin_static,0
20min,SHT_AUX_TIME,hour_sin__origin,hour_sin,origin_static,0
20min,SHT_AUX_TIME,pressure__delta_12h,pressure,difference,12
20min,SHT_AUX_TIME,pressure__delta_1h,pressure,difference,1
20min,SHT_AUX_TIME,pressure__delta_2h,pressure,difference,2
20min,SHT_AUX_TIME,pressure__delta_3h,pressure,difference,3
20min,SHT_AUX_TIME,pressure__delta_6h,pressure,difference,6
20min,SHT_AUX_TIME,pressure__lag_0h,pressure,lag,0
20min,SHT_AUX_TIME,pressure__lag_12h,pressure,lag,12
20min,SHT_AUX_TIME,pressure__lag_1h,pressure,lag,1
20min,SHT_AUX_TIME,pressure__lag_2h,pressure,lag,2
20min,SHT_AUX_TIME,pressure__lag_3h,pressure,lag,3
20min,SHT_AUX_TIME,pressure__lag_6h,pressure,lag,6
20min,SHT_AUX_TIME,pressure__missing_fraction_24h,pressure,missing_fraction,24
20min,SHT_AUX_TIME,pressure__roll_max_12h,pressure,rolling_max,12
20min,SHT_AUX_TIME,pressure__roll_max_1h,pressure,rolling_max,1
20min,SHT_AUX_TIME,pressure__roll_max_24h,pressure,rolling_max,24
20min,SHT_AUX_TIME,pressure__roll_max_3h,pressure,rolling_max,3
20min,SHT_AUX_TIME,pressure__roll_max_6h,pressure,rolling_max,6
20min,SHT_AUX_TIME,pressure__roll_mean_12h,pressure,rolling_mean,12
20min,SHT_AUX_TIME,pressure__roll_mean_1h,pressure,rolling_mean,1
20min,SHT_AUX_TIME,pressure__roll_mean_24h,pressure,rolling_mean,24
20min,SHT_AUX_TIME,pressure__roll_mean_3h,pressure,rolling_mean,3
20min,SHT_AUX_TIME,pressure__roll_mean_6h,pressure,rolling_mean,6
20min,SHT_AUX_TIME,pressure__roll_min_12h,pressure,rolling_min,12
20min,SHT_AUX_TIME,pressure__roll_min_1h,pressure,rolling_min,1
20min,SHT_AUX_TIME,pressure__roll_min_24h,pressure,rolling_min,24
20min,SHT_AUX_TIME,pressure__roll_min_3h,pressure,rolling_min,3
20min,SHT_AUX_TIME,pressure__roll_min_6h,pressure,rolling_min,6
20min,SHT_AUX_TIME,pressure__roll_std_12h,pressure,rolling_std,12
20min,SHT_AUX_TIME,pressure__roll_std_1h,pressure,rolling_std,1
20min,SHT_AUX_TIME,pressure__roll_std_24h,pressure,rolling_std,24
20min,SHT_AUX_TIME,pressure__roll_std_3h,pressure,rolling_std,3
20min,SHT_AUX_TIME,pressure__roll_std_6h,pressure,rolling_std,6
20min,SHT_AUX_TIME,relative_humidity__delta_12h,relative_humidity,difference,12
20min,SHT_AUX_TIME,relative_humidity__delta_1h,relative_humidity,difference,1
20min,SHT_AUX_TIME,relative_humidity__delta_2h,relative_humidity,difference,2
20min,SHT_AUX_TIME,relative_humidity__delta_3h,relative_humidity,difference,3
20min,SHT_AUX_TIME,relative_humidity__delta_6h,relative_humidity,difference,6
20min,SHT_AUX_TIME,relative_humidity__lag_0h,relative_humidity,lag,0
20min,SHT_AUX_TIME,relative_humidity__lag_12h,relative_humidity,lag,12
20min,SHT_AUX_TIME,relative_humidity__lag_1h,relative_humidity,lag,1
20min,SHT_AUX_TIME,relative_humidity__lag_2h,relative_humidity,lag,2
20min,SHT_AUX_TIME,relative_humidity__lag_3h,relative_humidity,lag,3
20min,SHT_AUX_TIME,relative_humidity__lag_6h,relative_humidity,lag,6
20min,SHT_AUX_TIME,relative_humidity__missing_fraction_24h,relative_humidity,missing_fraction,24
20min,SHT_AUX_TIME,relative_humidity__roll_max_12h,relative_humidity,rolling_max,12
20min,SHT_AUX_TIME,relative_humidity__roll_max_1h,relative_humidity,rolling_max,1
20min,SHT_AUX_TIME,relative_humidity__roll_max_24h,relative_humidity,rolling_max,24
20min,SHT_AUX_TIME,relative_humidity__roll_max_3h,relative_humidity,rolling_max,3
20min,SHT_AUX_TIME,relative_humidity__roll_max_6h,relative_humidity,rolling_max,6
20min,SHT_AUX_TIME,relative_humidity__roll_mean_12h,relative_humidity,rolling_mean,12
20min,SHT_AUX_TIME,relative_humidity__roll_mean_1h,relative_humidity,rolling_mean,1
20min,SHT_AUX_TIME,relative_humidity__roll_mean_24h,relative_humidity,rolling_mean,24
20min,SHT_AUX_TIME,relative_humidity__roll_mean_3h,relative_humidity,rolling_mean,3
20min,SHT_AUX_TIME,relative_humidity__roll_mean_6h,relative_humidity,rolling_mean,6
20min,SHT_AUX_TIME,relative_humidity__roll_min_12h,relative_humidity,rolling_min,12
20min,SHT_AUX_TIME,relative_humidity__roll_min_1h,relative_humidity,rolling_min,1
20min,SHT_AUX_TIME,relative_humidity__roll_min_24h,relative_humidity,rolling_min,24
20min,SHT_AUX_TIME,relative_humidity__roll_min_3h,relative_humidity,rolling_min,3
20min,SHT_AUX_TIME,relative_humidity__roll_min_6h,relative_humidity,rolling_min,6
20min,SHT_AUX_TIME,relative_humidity__roll_std_12h,relative_humidity,rolling_std,12
20min,SHT_AUX_TIME,relative_humidity__roll_std_1h,relative_humidity,rolling_std,1
20min,SHT_AUX_TIME,relative_humidity__roll_std_24h,relative_humidity,rolling_std,24
20min,SHT_AUX_TIME,relative_humidity__roll_std_3h,relative_humidity,rolling_std,3
20min,SHT_AUX_TIME,relative_humidity__roll_std_6h,relative_humidity,rolling_std,6
20min,SHT_AUX_TIME,temperature__delta_12h,temperature,difference,12
20min,SHT_AUX_TIME,temperature__delta_1h,temperature,difference,1
20min,SHT_AUX_TIME,temperature__delta_2h,temperature,difference,2
20min,SHT_AUX_TIME,temperature__delta_3h,temperature,difference,3
20min,SHT_AUX_TIME,temperature__delta_6h,temperature,difference,6
20min,SHT_AUX_TIME,temperature__lag_0h,temperature,lag,0
20min,SHT_AUX_TIME,temperature__lag_12h,temperature,lag,12
20min,SHT_AUX_TIME,temperature__lag_1h,temperature,lag,1
20min,SHT_AUX_TIME,temperature__lag_2h,temperature,lag,2
20min,SHT_AUX_TIME,temperature__lag_3h,temperature,lag,3
20min,SHT_AUX_TIME,temperature__lag_6h,temperature,lag,6
20min,SHT_AUX_TIME,temperature__missing_fraction_24h,temperature,missing_fraction,24
20min,SHT_AUX_TIME,temperature__roll_max_12h,temperature,rolling_max,12
20min,SHT_AUX_TIME,temperature__roll_max_1h,temperature,rolling_max,1
20min,SHT_AUX_TIME,temperature__roll_max_24h,temperature,rolling_max,24
20min,SHT_AUX_TIME,temperature__roll_max_3h,temperature,rolling_max,3
20min,SHT_AUX_TIME,temperature__roll_max_6h,temperature,rolling_max,6
20min,SHT_AUX_TIME,temperature__roll_mean_12h,temperature,rolling_mean,12
20min,SHT_AUX_TIME,temperature__roll_mean_1h,temperature,rolling_mean,1
20min,SHT_AUX_TIME,temperature__roll_mean_24h,temperature,rolling_mean,24
20min,SHT_AUX_TIME,temperature__roll_mean_3h,temperature,rolling_mean,3
20min,SHT_AUX_TIME,temperature__roll_mean_6h,temperature,rolling_mean,6
20min,SHT_AUX_TIME,temperature__roll_min_12h,temperature,rolling_min,12
20min,SHT_AUX_TIME,temperature__roll_min_1h,temperature,rolling_min,1
20min,SHT_AUX_TIME,temperature__roll_min_24h,temperature,rolling_min,24
20min,SHT_AUX_TIME,temperature__roll_min_3h,temperature,rolling_min,3
20min,SHT_AUX_TIME,temperature__roll_min_6h,temperature,rolling_min,6
20min,SHT_AUX_TIME,temperature__roll_std_12h,temperature,rolling_std,12
20min,SHT_AUX_TIME,temperature__roll_std_1h,temperature,rolling_std,1
20min,SHT_AUX_TIME,temperature__roll_std_24h,temperature,rolling_std,24
20min,SHT_AUX_TIME,temperature__roll_std_3h,temperature,rolling_std,3
20min,SHT_AUX_TIME,temperature__roll_std_6h,temperature,rolling_std,6
20min,SHT_AUX_TIME,temperature_bme280__delta_12h,temperature_bme280,difference,12
20min,SHT_AUX_TIME,temperature_bme280__delta_1h,temperature_bme280,difference,1
20min,SHT_AUX_TIME,temperature_bme280__delta_2h,temperature_bme280,difference,2
20min,SHT_AUX_TIME,temperature_bme280__delta_3h,temperature_bme280,difference,3
20min,SHT_AUX_TIME,temperature_bme280__delta_6h,temperature_bme280,difference,6
20min,SHT_AUX_TIME,temperature_bme280__lag_0h,temperature_bme280,lag,0
20min,SHT_AUX_TIME,temperature_bme280__lag_12h,temperature_bme280,lag,12
20min,SHT_AUX_TIME,temperature_bme280__lag_1h,temperature_bme280,lag,1
20min,SHT_AUX_TIME,temperature_bme280__lag_2h,temperature_bme280,lag,2
20min,SHT_AUX_TIME,temperature_bme280__lag_3h,temperature_bme280,lag,3
20min,SHT_AUX_TIME,temperature_bme280__lag_6h,temperature_bme280,lag,6
20min,SHT_AUX_TIME,temperature_bme280__missing_fraction_24h,temperature_bme280,missing_fraction,24
20min,SHT_AUX_TIME,temperature_bme280__roll_max_12h,temperature_bme280,rolling_max,12
20min,SHT_AUX_TIME,temperature_bme280__roll_max_1h,temperature_bme280,rolling_max,1
20min,SHT_AUX_TIME,temperature_bme280__roll_max_24h,temperature_bme280,rolling_max,24
20min,SHT_AUX_TIME,temperature_bme280__roll_max_3h,temperature_bme280,rolling_max,3
20min,SHT_AUX_TIME,temperature_bme280__roll_max_6h,temperature_bme280,rolling_max,6
20min,SHT_AUX_TIME,temperature_bme280__roll_mean_12h,temperature_bme280,rolling_mean,12
20min,SHT_AUX_TIME,temperature_bme280__roll_mean_1h,temperature_bme280,rolling_mean,1
20min,SHT_AUX_TIME,temperature_bme280__roll_mean_24h,temperature_bme280,rolling_mean,24
20min,SHT_AUX_TIME,temperature_bme280__roll_mean_3h,temperature_bme280,rolling_mean,3
